timestamp;buyer;seller;symbol;currency;price;quantity
0;;;CROISSANTS;SEASHELLS;4274;8
100;;;RAINFOREST_RESIN;SEASHELLS;9998;1
200;;;CROISSANTS;SEASHELLS;4276;8
200;;;JAMS;SEASHELLS;6543;7
200;;;KELP;SEASHELLS;2034;1
200;;;RAINFOREST_RESIN;SEASHELLS;9998;1
200;;;SQUID_INK;SEASHELLS;1834;1
300;;;KELP;SEASHELLS;2032;1
300;;;SQUID_INK;SEASHELLS;1834;1
500;;;KELP;SEASHELLS;2035;2
500;;;RAINFOREST_RESIN;SEASHELLS;10005;2
500;;;SQUID_INK;SEASHELLS;1837;2
600;;;CROISSANTS;SEASHELLS;4276;5
700;;;JAMS;SEASHELLS;6542;3
900;;;KELP;SEASHELLS;2031;8
900;;;SQUID_INK;SEASHELLS;1840;8
1000;;;JAMS;SEASHELLS;6545;4
1000;;;RAINFOREST_RESIN;SEASHELLS;10002;1
1000;;;RAINFOREST_RESIN;SEASHELLS;10002;2
1200;;;JAMS;SEASHELLS;6542;9
1200;;;KELP;SEASHELLS;2032;1
1200;;;SQUID_INK;SEASHELLS;1839;1
1300;;;PICNIC_BASKET1;SEASHELLS;58693;6
1300;;;PICNIC_BASKET2;SEASHELLS;30250;6
1300;;;RAINFOREST_RESIN;SEASHELLS;9998;1
1500;;;KELP;SEASHELLS;2032;1
1500;;;SQUID_INK;SEASHELLS;1842;1
1600;;;CROISSANTS;SEASHELLS;4273;8
1600;;;RAINFOREST_RESIN;SEASHELLS;9996;1
1700;;;DJEMBES;SEASHELLS;13413;3
1900;;;RAINFOREST_RESIN;SEASHELLS;9998;8
1900;;;RAINFOREST_RESIN;SEASHELLS;9998;4
2000;;;DJEMBES;SEASHELLS;13413;2
2300;;;DJEMBES;SEASHELLS;13414;2
2500;;;JAMS;SEASHELLS;6543;6
2800;;;JAMS;SEASHELLS;6542;9
2900;;;JAMS;SEASHELLS;6542;10
3200;;;KELP;SEASHELLS;2034;2
3200;;;RAINFOREST_RESIN;SEASHELLS;10004;1
3200;;;RAINFOREST_RESIN;SEASHELLS;10004;1
3200;;;SQUID_INK;SEASHELLS;1850;2
3400;;;RAINFOREST_RESIN;SEASHELLS;9998;1
3500;;;SQUID_INK;SEASHELLS;1851;1
3600;;;RAINFOREST_RESIN;SEASHELLS;10002;5
3600;;;RAINFOREST_RESIN;SEASHELLS;10002;3
3700;;;KELP;SEASHELLS;2033;5
3700;;;SQUID_INK;SEASHELLS;1851;5
3700;;;SQUID_INK;SEASHELLS;1852;2
3900;;;RAINFOREST_RESIN;SEASHELLS;10002;4
4600;;;JAMS;SEASHELLS;6542;10
4600;;;KELP;SEASHELLS;2034;1
4600;;;SQUID_INK;SEASHELLS;1859;1
4700;;;KELP;SEASHELLS;2035;4
4700;;;SQUID_INK;SEASHELLS;1858;4
4900;;;KELP;SEASHELLS;2035;2
4900;;;RAINFOREST_RESIN;SEASHELLS;10004;2
4900;;;SQUID_INK;SEASHELLS;1860;2
5000;;;CROISSANTS;SEASHELLS;4271;4
5400;;;SQUID_INK;SEASHELLS;1857;5
5500;;;JAMS;SEASHELLS;6540;4
5700;;;KELP;SEASHELLS;2035;14
5700;;;PICNIC_BASKET1;SEASHELLS;58650;1
5700;;;PICNIC_BASKET1;SEASHELLS;58649;1
5700;;;PICNIC_BASKET2;SEASHELLS;30232;1
5700;;;PICNIC_BASKET2;SEASHELLS;30231;1
5700;;;SQUID_INK;SEASHELLS;1862;14
5800;;;KELP;SEASHELLS;2035;14
5800;;;SQUID_INK;SEASHELLS;1861;14
5900;;;KELP;SEASHELLS;2035;12
5900;;;KELP;SEASHELLS;2034;1
5900;;;RAINFOREST_RESIN;SEASHELLS;9996;1
5900;;;SQUID_INK;SEASHELLS;1860;12
5900;;;SQUID_INK;SEASHELLS;1859;1
6100;;;DJEMBES;SEASHELLS;13413;5
6100;;;KELP;SEASHELLS;2032;5
6100;;;KELP;SEASHELLS;2034;8
6100;;;SQUID_INK;SEASHELLS;1859;5
6100;;;SQUID_INK;SEASHELLS;1860;8
6200;;;JAMS;SEASHELLS;6540;3
6400;;;CROISSANTS;SEASHELLS;4272;8
6800;;;JAMS;SEASHELLS;6540;5
6900;;;DJEMBES;SEASHELLS;13415;2
7100;;;CROISSANTS;SEASHELLS;4271;7
7200;;;CROISSANTS;SEASHELLS;4271;5
7300;;;JAMS;SEASHELLS;6540;8
7300;;;PICNIC_BASKET2;SEASHELLS;30235;1
7400;;;JAMS;SEASHELLS;6540;6
7400;;;KELP;SEASHELLS;2032;1
7400;;;SQUID_INK;SEASHELLS;1859;1
7500;;;JAMS;SEASHELLS;6541;7
7800;;;KELP;SEASHELLS;2034;1
7800;;;RAINFOREST_RESIN;SEASHELLS;10002;2
7900;;;CROISSANTS;SEASHELLS;4270;8
7900;;;JAMS;SEASHELLS;6539;5
7900;;;RAINFOREST_RESIN;SEASHELLS;10004;1
7900;;;RAINFOREST_RESIN;SEASHELLS;10004;8
8200;;;JAMS;SEASHELLS;6538;5
8600;;;RAINFOREST_RESIN;SEASHELLS;10004;1
8600;;;RAINFOREST_RESIN;SEASHELLS;10004;6
8900;;;PICNIC_BASKET1;SEASHELLS;58657;3
8900;;;PICNIC_BASKET2;SEASHELLS;30224;3
9100;;;CROISSANTS;SEASHELLS;4270;5
9100;;;PICNIC_BASKET1;SEASHELLS;58643;1
9100;;;PICNIC_BASKET2;SEASHELLS;30224;1
9300;;;JAMS;SEASHELLS;6539;9
9400;;;KELP;SEASHELLS;2032;1
9400;;;SQUID_INK;SEASHELLS;1855;1
9600;;;KELP;SEASHELLS;2034;1
9600;;;RAINFOREST_RESIN;SEASHELLS;9998;2
9600;;;SQUID_INK;SEASHELLS;1857;1
9700;;;RAINFOREST_RESIN;SEASHELLS;9996;1
9800;;;DJEMBES;SEASHELLS;13415;4
9900;;;JAMS;SEASHELLS;6540;5
9900;;;KELP;SEASHELLS;2035;1
9900;;;SQUID_INK;SEASHELLS;1860;1
9900;;;SQUID_INK;SEASHELLS;1859;5
10000;;;CROISSANTS;SEASHELLS;4270;8
10100;;;JAMS;SEASHELLS;6540;4
10300;;;DJEMBES;SEASHELLS;13410;3
10500;;;KELP;SEASHELLS;2033;2
10500;;;RAINFOREST_RESIN;SEASHELLS;10002;1
10500;;;RAINFOREST_RESIN;SEASHELLS;9995;2
10500;;;SQUID_INK;SEASHELLS;1856;2
10600;;;KELP;SEASHELLS;2035;1
10600;;;SQUID_INK;SEASHELLS;1858;1
10800;;;JAMS;SEASHELLS;6538;8
11300;;;RAINFOREST_RESIN;SEASHELLS;9998;1
11700;;;RAINFOREST_RESIN;SEASHELLS;10002;1
11700;;;SQUID_INK;SEASHELLS;1858;3
12100;;;DJEMBES;SEASHELLS;13415;1
12100;;;KELP;SEASHELLS;2034;1
12100;;;RAINFOREST_RESIN;SEASHELLS;9998;1
12100;;;SQUID_INK;SEASHELLS;1855;1
12200;;;KELP;SEASHELLS;2033;1
12200;;;SQUID_INK;SEASHELLS;1856;1
12400;;;KELP;SEASHELLS;2032;1
12400;;;SQUID_INK;SEASHELLS;1857;1
12700;;;CROISSANTS;SEASHELLS;4267;7
12900;;;KELP;SEASHELLS;2036;6
12900;;;SQUID_INK;SEASHELLS;1856;6
13000;;;RAINFOREST_RESIN;SEASHELLS;9998;1
13100;;;RAINFOREST_RESIN;SEASHELLS;10002;3
13200;;;PICNIC_BASKET1;SEASHELLS;58636;1
13200;;;PICNIC_BASKET2;SEASHELLS;30228;1
13300;;;JAMS;SEASHELLS;6544;8
13600;;;RAINFOREST_RESIN;SEASHELLS;10002;1
13700;;;CROISSANTS;SEASHELLS;4267;7
13700;;;KELP;SEASHELLS;2034;3
13700;;;SQUID_INK;SEASHELLS;1848;3
13900;;;KELP;SEASHELLS;2032;1
13900;;;KELP;SEASHELLS;2034;3
13900;;;SQUID_INK;SEASHELLS;1849;1
13900;;;SQUID_INK;SEASHELLS;1850;3
14000;;;KELP;SEASHELLS;2032;15
14000;;;SQUID_INK;SEASHELLS;1852;1
14100;;;KELP;SEASHELLS;2034;4
14200;;;CROISSANTS;SEASHELLS;4267;6
14300;;;JAMS;SEASHELLS;6541;5
14400;;;JAMS;SEASHELLS;6542;6
14500;;;KELP;SEASHELLS;2033;5
14500;;;SQUID_INK;SEASHELLS;1852;1
14500;;;SQUID_INK;SEASHELLS;1852;4
14700;;;DJEMBES;SEASHELLS;13416;1
14700;;;SQUID_INK;SEASHELLS;1852;1
14800;;;CROISSANTS;SEASHELLS;4267;10
15000;;;CROISSANTS;SEASHELLS;4267;5
15000;;;RAINFOREST_RESIN;SEASHELLS;9998;3
15200;;;JAMS;SEASHELLS;6543;5
15200;;;KELP;SEASHELLS;2033;2
15200;;;SQUID_INK;SEASHELLS;1848;2
15200;;;SQUID_INK;SEASHELLS;1848;1
15500;;;KELP;SEASHELLS;2033;1
15500;;;RAINFOREST_RESIN;SEASHELLS;10002;1
15500;;;SQUID_INK;SEASHELLS;1850;1
15600;;;RAINFOREST_RESIN;SEASHELLS;10002;1
