day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,rolling_slope_strict_100,window_return_strict_100,slope_tstat_strict_100,strict_uptrend_signal
-2,100,ASH_COATED_OSMIUM,9992.0,15.0,,,,,10008.0,15.0,10011.0,20.0,,,10000.0,0.0,,,,False
-2,200,ASH_COATED_OSMIUM,9992.0,15.0,9989.0,30.0,,,10008.0,15.0,10010.0,30.0,,,10000.0,0.0,,,,False
-2,300,ASH_COATED_OSMIUM,9992.0,13.0,9989.0,26.0,,,10008.0,13.0,10010.0,26.0,,,10000.0,0.0,,,,False
-2,400,ASH_COATED_OSMIUM,9992.0,15.0,,,,,10008.0,15.0,10010.0,20.0,,,10000.0,0.0,,,,False
-2,500,ASH_COATED_OSMIUM,9992.0,13.0,9989.0,30.0,,,10008.0,13.0,10010.0,30.0,,,10000.0,0.0,,,,False
-2,600,ASH_COATED_OSMIUM,9989.0,30.0,,,,,10010.0,30.0,,,,,9999.5,0.0,,,,False
-2,700,ASH_COATED_OSMIUM,9990.0,27.0,,,,,10011.0,27.0,,,,,10000.5,0.0,,,,False
-2,800,ASH_COATED_OSMIUM,9993.0,15.0,,,,,10011.0,21.0,,,,,10002.0,0.0,,,,False
-2,900,ASH_COATED_OSMIUM,9993.0,13.0,9990.0,30.0,,,9998.0,8.0,10009.0,13.0,10011.0,30.0,9995.5,0.0,,,,False
-2,1000,ASH_COATED_OSMIUM,9990.0,22.0,,,,,10009.0,15.0,10011.0,22.0,,,9999.5,0.0,,,,False
-2,1100,ASH_COATED_OSMIUM,9993.0,10.0,,,,,10009.0,10.0,10011.0,25.0,,,10001.0,0.0,,,,False
-2,1300,ASH_COATED_OSMIUM,9993.0,10.0,9991.0,23.0,,,10012.0,23.0,,,,,10002.5,0.0,,,,False
-2,1400,ASH_COATED_OSMIUM,9993.0,13.0,9991.0,26.0,,,10009.0,13.0,10012.0,26.0,,,10001.0,0.0,,,,False
-2,1500,ASH_COATED_OSMIUM,9994.0,12.0,9991.0,25.0,,,10010.0,12.0,10012.0,25.0,,,10002.0,0.0,,,,False
-2,1700,ASH_COATED_OSMIUM,9999.0,3.0,9994.0,12.0,9991.0,28.0,10010.0,12.0,10012.0,28.0,,,10004.5,0.0,,,,False
-2,1800,ASH_COATED_OSMIUM,9994.0,14.0,9991.0,24.0,,,10010.0,14.0,10012.0,24.0,,,10002.0,0.0,,,,False
-2,1900,ASH_COATED_OSMIUM,9994.0,11.0,9991.0,25.0,,,10010.0,11.0,10012.0,25.0,,,10002.0,0.0,,,,False
-2,2000,ASH_COATED_OSMIUM,9991.0,30.0,,,,,10010.0,10.0,10012.0,30.0,,,10000.5,0.0,,,,False
-2,2100,ASH_COATED_OSMIUM,9994.0,13.0,9992.0,20.0,,,10010.0,13.0,,,,,10002.0,0.0,,,,False
-2,2200,ASH_COATED_OSMIUM,9994.0,14.0,,,,,10010.0,14.0,10013.0,25.0,,,10002.0,0.0,,,,False
-2,2300,ASH_COATED_OSMIUM,10000.0,5.0,9995.0,11.0,9992.0,28.0,10011.0,11.0,10013.0,28.0,,,10005.5,0.0,,,,False
