day,timestamp,product,mid_price,trend,residual
-2,0,INTARIAN_PEPPER_ROOT,9998.5,10001.940146900768,-3.4401469007680134
-2,100,INTARIAN_PEPPER_ROOT,10000.5,10002.048367608395,-1.548367608394983
-2,200,INTARIAN_PEPPER_ROOT,10001.5,10002.156588316022,-0.6565883160219528
-2,400,INTARIAN_PEPPER_ROOT,9999.0,10002.264809023649,-3.2648090236489224
-2,500,INTARIAN_PEPPER_ROOT,10000.5,10002.373029731276,-1.8730297312758921
-2,600,INTARIAN_PEPPER_ROOT,10002.0,10002.481250438903,-0.4812504389028618
-2,700,INTARIAN_PEPPER_ROOT,10000.5,10002.58947114653,-2.0894711465298315
-2,800,INTARIAN_PEPPER_ROOT,9999.5,10002.697691854157,-3.197691854156801
-2,900,INTARIAN_PEPPER_ROOT,10000.5,10002.805912561784,-2.305912561783771
-2,1000,INTARIAN_PEPPER_ROOT,10000.5,10002.91413326941,-2.4141332694107405
-2,1200,INTARIAN_PEPPER_ROOT,10000.0,10003.022353977038,-3.02235397703771
-2,1300,INTARIAN_PEPPER_ROOT,10001.5,10003.130574684665,-1.6305746846646798
-2,1400,INTARIAN_PEPPER_ROOT,10001.5,10003.23879539229,-1.7387953922898305
-2,1500,INTARIAN_PEPPER_ROOT,10001.5,10003.347016099917,-1.8470160999168002
-2,1600,INTARIAN_PEPPER_ROOT,10000.5,10003.455236807544,-2.95523680754377
-2,1700,INTARIAN_PEPPER_ROOT,10001.5,10003.56345751517,-2.0634575151707395
-2,1800,INTARIAN_PEPPER_ROOT,10001.5,10003.671678222798,-2.171678222797709
-2,1900,INTARIAN_PEPPER_ROOT,10003.0,10003.779898930425,-0.7798989304246788
-2,2000,INTARIAN_PEPPER_ROOT,10001.0,10003.888119638052,-2.8881196380516485
-2,2100,INTARIAN_PEPPER_ROOT,10003.5,10003.996340345679,-0.4963403456786182
-2,2200,INTARIAN_PEPPER_ROOT,10001.0,10004.104561053306,-3.104561053305588
-2,2300,INTARIAN_PEPPER_ROOT,10001.0,10004.212781760933,-3.2127817609325575
-2,2400,INTARIAN_PEPPER_ROOT,10002.5,10004.32100246856,-1.8210024685595272
-2,2500,INTARIAN_PEPPER_ROOT,10002.5,10004.429223176186,-1.9292231761864969
-2,2600,INTARIAN_PEPPER_ROOT,10001.5,10004.537443883813,-3.0374438838134665
-2,2700,INTARIAN_PEPPER_ROOT,10004.0,10004.64566459144,-0.6456645914404362
-2,2800,INTARIAN_PEPPER_ROOT,10002.5,10004.753885299067,-2.253885299067406
-2,2900,INTARIAN_PEPPER_ROOT,10002.5,10004.862106006694,-2.3621060066943755
-2,3000,INTARIAN_PEPPER_ROOT,10003.0,10004.970326714321,-1.9703267143213452
-2,3100,INTARIAN_PEPPER_ROOT,10004.5,10005.078547421948,-0.5785474219483149
-2,3200,INTARIAN_PEPPER_ROOT,10003.0,10005.186768129575,-2.1867681295752845
-2,3300,INTARIAN_PEPPER_ROOT,10003.5,10005.294988837202,-1.7949888372022542
-2,3400,INTARIAN_PEPPER_ROOT,10003.5,10005.40320954483,-1.9032095448292239
-2,3500,INTARIAN_PEPPER_ROOT,10005.0,10005.511430252456,-0.5114302524561936
-2,3600,INTARIAN_PEPPER_ROOT,10003.5,10005.619650960083,-2.1196509600831632
-2,3700,INTARIAN_PEPPER_ROOT,10003.5,10005.727871667708,-2.227871667708314
-2,3800,INTARIAN_PEPPER_ROOT,10005.0,10005.836092375335,-0.8360923753352836
-2,3900,INTARIAN_PEPPER_ROOT,10003.5,10005.944313082962,-2.4443130829622532
-2,4000,INTARIAN_PEPPER_ROOT,10008.5,10006.05253379059,2.447466209410777
-2,4200,INTARIAN_PEPPER_ROOT,10004.0,10006.160754498216,-2.1607544982161926
-2,4400,INTARIAN_PEPPER_ROOT,10003.0,10006.268975205843,-3.2689752058431623
-2,4500,INTARIAN_PEPPER_ROOT,10004.5,10006.37719591347,-1.877195913470132
-2,4600,INTARIAN_PEPPER_ROOT,10004.5,10006.485416621097,-1.9854166210971016
-2,4700,INTARIAN_PEPPER_ROOT,10006.0,10006.593637328724,-0.5936373287240713
-2,4800,INTARIAN_PEPPER_ROOT,10004.5,10006.701858036351,-2.201858036351041
-2,4900,INTARIAN_PEPPER_ROOT,10003.5,10006.810078743978,-3.3100787439780106
-2,5000,INTARIAN_PEPPER_ROOT,10005.0,10006.918299451605,-1.9182994516049803
-2,5100,INTARIAN_PEPPER_ROOT,10003.5,10007.026520159232,-3.52652015923195
-2,5200,INTARIAN_PEPPER_ROOT,10001.0,10007.134740866859,-6.13474086685892
-2,5300,INTARIAN_PEPPER_ROOT,10005.5,10007.242961574486,-1.7429615744858893
-2,5400,INTARIAN_PEPPER_ROOT,10005.5,10007.351182282113,-1.851182282112859
-2,5500,INTARIAN_PEPPER_ROOT,10004.0,10007.45940298974,-3.4594029897398286
-2,5600,INTARIAN_PEPPER_ROOT,10005.5,10007.567623697367,-2.0676236973667983
-2,5700,INTARIAN_PEPPER_ROOT,10005.5,10007.675844404994,-2.175844404993768
