day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
4;0;SQUID_INK;1928;22;;;;;1931;2;1932;20;;;1929.5;0.0
4;0;CROISSANTS;4296;129;;;;;4297;37;4298;92;;;4296.5;0.0
4;0;JAMS;6446;92;6445;107;;;6447;92;6448;107;;;6446.5;0.0
4;0;VOLCANIC_ROCK_VOUCHER_10000;34;21;;;;;35;21;;;;;34.5;0.0
4;0;KELP;2036;22;;;;;2040;22;;;;;2038.0;0.0
4;0;VOLCANIC_ROCK_VOUCHER_10250;2;21;;;;;3;21;;;;;2.5;0.0
4;0;DJEMBES;13372;24;13371;39;;;13373;63;;;;;13372.5;0.0
4;0;VOLCANIC_ROCK_VOUCHER_10500;0;21;;;;;2;21;;;;;1.0;0.0
4;0;VOLCANIC_ROCK_VOUCHER_9750;186;21;;;;;187;21;;;;;186.5;0.0
4;0;PICNIC_BASKET1;58330;2;58329;19;58328;24;58339;2;58340;19;58341;24;58334.5;0.0
4;0;PICNIC_BASKET2;30129;21;30128;24;;;30134;2;30135;43;;;30131.5;0.0
4;0;VOLCANIC_ROCK_VOUCHER_9500;421;21;;;;;422;21;;;;;421.5;0.0
4;0;RAINFOREST_RESIN;9992;35;;;;;10008;35;;;;;10000.0;0.0
4;0;MAGNIFICENT_MACARONS;795;12;793;19;787;20;803;6;812;20;818;19;799.0;0.0
4;0;VOLCANIC_ROCK;9920;133;9919;47;;;9922;180;;;;;9921.0;0.0
4;100;VOLCANIC_ROCK_VOUCHER_9500;420;19;;;;;421;19;;;;;420.5;0.0
4;100;RAINFOREST_RESIN;9992;30;;;;;10008;30;;;;;10000.0;0.0
4;100;VOLCANIC_ROCK_VOUCHER_10250;2;19;;;;;3;19;;;;;2.5;0.0
4;100;SQUID_INK;1924;1;1923;27;;;1925;5;1927;28;;;1924.5;0.0
4;100;VOLCANIC_ROCK;9919;109;9918;57;;;9920;109;9921;57;;;9919.5;0.0
4;100;VOLCANIC_ROCK_VOUCHER_10500;0;19;;;;;2;19;;;;;1.0;0.0
4;100;CROISSANTS;4296;104;;;;;4297;46;4298;58;;;4296.5;0.0
4;100;MAGNIFICENT_MACARONS;789;12;786;18;780;27;797;6;805;27;811;18;793.0;0.0
4;100;VOLCANIC_ROCK_VOUCHER_10000;32;19;;;;;33;19;;;;;32.5;0.0
4;100;JAMS;6445;231;;;;;6447;231;;;;;6446.0;0.0
4;100;DJEMBES;13373;53;;;;;13374;53;;;;;13373.5;0.0
4;100;KELP;2036;28;;;;;2037;5;2040;28;;;2036.5;0.0
4;100;VOLCANIC_ROCK_VOUCHER_9750;184;19;;;;;185;19;;;;;184.5;0.0
4;100;PICNIC_BASKET1;58333;7;58329;1;58328;18;58338;1;58339;18;58340;20;58335.5;0.0
4;100;PICNIC_BASKET2;30131;7;30129;1;30128;38;30134;19;30135;20;;;30132.5;0.0
4;200;MAGNIFICENT_MACARONS;787;12;784;15;778;22;795;6;803;22;809;15;791.0;0.0
4;200;DJEMBES;13372;58;;;;;13373;58;;;;;13372.5;0.0
4;200;VOLCANIC_ROCK_VOUCHER_10500;0;17;;;;;2;17;;;;;1.0;0.0
4;200;VOLCANIC_ROCK_VOUCHER_9750;183;17;;;;;184;17;;;;;183.5;0.0
4;200;PICNIC_BASKET1;58334;1;58325;2;58324;15;58335;15;58336;15;;;58334.5;0.0
4;200;CROISSANTS;4296;146;;;;;4297;146;;;;;4296.5;0.0
4;200;PICNIC_BASKET2;30133;3;30129;2;30128;30;30134;17;30135;15;;;30133.5;0.0
4;200;VOLCANIC_ROCK_VOUCHER_9500;420;17;;;;;421;17;;;;;420.5;0.0
4;200;SQUID_INK;1927;24;;;;;1930;24;;;;;1928.5;0.0
4;200;VOLCANIC_ROCK_VOUCHER_10000;34;17;;;;;35;17;;;;;34.5;0.0
4;200;JAMS;6445;290;;;;;6447;290;;;;;6446.0;0.0
4;200;KELP;2036;24;;;;;2040;24;;;;;2038.0;0.0
4;200;VOLCANIC_ROCK;9919;104;9918;69;;;9920;104;9921;69;;;9919.5;0.0
4;200;RAINFOREST_RESIN;9992;27;;;;;10008;27;;;;;10000.0;0.0
4;200;VOLCANIC_ROCK_VOUCHER_10250;2;17;;;;;3;17;;;;;2.5;0.0
4;300;VOLCANIC_ROCK_VOUCHER_10250;2;28;;;;;3;18;;;;;2.5;0.0
4;300;SQUID_INK;1926;30;;;;;1929;30;;;;;1927.5;0.0
4;300;VOLCANIC_ROCK;9918;145;9917;67;;;9920;212;;;;;9919.0;0.0
4;300;VOLCANIC_ROCK_VOUCHER_10500;1;10;0;18;;;2;18;;;;;1.5;0.0
4;300;RAINFOREST_RESIN;9992;31;;;;;10008;31;;;;;10000.0;0.0
4;300;VOLCANIC_ROCK_VOUCHER_10000;33;28;;;;;34;18;;;;;33.5;0.0
4;300;JAMS;6446;60;6445;145;;;6447;60;6448;145;;;6446.5;0.0
4;300;DJEMBES;13372;51;;;;;13374;51;;;;;13373.0;0.0
4;300;KELP;2036;30;;;;;2039;2;2040;28;;;2037.5;0.0
